Family,Species,French Name,Latin Name,Species Code,Num
"Gulls, Terns, and Skimmers (Laridae)",Glaucous-winged Gull,Goéland à ailes grises,Larus glaucescens,GWGU,1
"Gulls, Terns, and Skimmers (Laridae)",Glaucous Gull,Goéland bourgmestre,Larus hyperboreus,GLGU,1
"Gulls, Terns, and Skimmers (Laridae)",Great Black-backed Gull,Goéland marin,Larus marinus,GBBG,1
"Gulls, Terns, and Skimmers (Laridae)",Brown Noddy,Noddi brun,Anous stolidus,BRNO,2
"Gulls, Terns, and Skimmers (Laridae)",Sooty Tern,Sterne fuligineuse,Onychoprion fuscatus,SOTE,2
"Gulls, Terns, and Skimmers (Laridae)",Least Tern,Petite Sterne,Sternula antillarum,LETE,1
"Gulls, Terns, and Skimmers (Laridae)",Gull-billed Tern,Sterne hansel,Gelochelidon nilotica,GBTE,1
"Gulls, Terns, and Skimmers (Laridae)",Caspian Tern,Sterne caspienne,Hydroprogne caspia,CATE,1
"Gulls, Terns, and Skimmers (Laridae)",Black Tern,Guifette noire,Chlidonias niger,BLTE,1
"Gulls, Terns, and Skimmers (Laridae)",Roseate Tern,Sterne de Dougall,Sterna dougallii,ROST,2
"Gulls, Terns, and Skimmers (Laridae)",Common Tern,Sterne pierregarin,Sterna hirundo,COTE,1
"Gulls, Terns, and Skimmers (Laridae)",Arctic Tern,Sterne arctique,Sterna paradisaea,ARTE,1
"Gulls, Terns, and Skimmers (Laridae)",Forster's Tern,Sterne de Forster,Sterna forsteri,FOTE,1
"Gulls, Terns, and Skimmers (Laridae)",Royal Tern,Sterne royale,Thalasseus maximus,ROYT,1
"Gulls, Terns, and Skimmers (Laridae)",Elegant Tern,Sterne élégante,Thalasseus elegans,ELTE,1
"Gulls, Terns, and Skimmers (Laridae)",Black Skimmer,Bec-en-ciseaux noir,Rynchops niger,BLSK,1
Tropicbirds (Phaethontidae),White-tailed Tropicbird,Phaéton à bec jaune,Phaethon lepturus,WTTR,2
Tropicbirds (Phaethontidae),Red-billed Tropicbird,Phaéton à bec rouge,Phaethon aethereus,RBTR,3
Tropicbirds (Phaethontidae),Red-tailed Tropicbird,Phaéton à brins rouges,Phaethon rubricauda,RTTR,2
Loons (Gaviidae),Red-throated Loon,Plongeon catmarin,Gavia stellata,RTLO,1
Loons (Gaviidae),Pacific Loon,Plongeon du Pacifique,Gavia pacifica,PALO,1
Loons (Gaviidae),Common Loon,Plongeon huard,Gavia immer,COLO,1
Albatrosses (Diomedeidae),Salvin's Albatross,Albatros de Salvin,Thalassarche salvini,SAAL,5
Albatrosses (Diomedeidae),Black-browed Albatross,Albatros à sourcils noirs,Thalassarche melanophris,BBAL,4
Albatrosses (Diomedeidae),Laysan Albatross,Albatros de Laysan,Phoebastria immutabilis,LAAL,2
Albatrosses (Diomedeidae),Black-footed Albatross,Albatros à pieds noirs,Phoebastria nigripes,BFAL,1
Shearwaters and Petrels (Procellariidae),Northern Fulmar,Fulmar boréal,Fulmarus glacialis,NOFU,1
Shearwaters and Petrels (Procellariidae),Bonin Petrel,Pétrel des Bonin,Pterodroma hypoleuca,BOPE,3
Shearwaters and Petrels (Procellariidae),Wedge-tailed Shearwater,Puffin fouquet,Ardenna pacifica,WTSH,2
